0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
2,5,8,9,0,0.11194,0,2,"4,32,24,32,1",0,0,-1,-1,-1
1,4,8,9,0,0.0128356,1,2,"2,16,24,32,1",0,0,-1,-1,-1
1,3,8,9,1,0.00314446,2,2,"2,8,24,32,2",0,0,-1,-1,-1
1,2,8,9,2,0.00197538,3,2,"2,4,24,32,3",0,0,-1,-1,-1
2,2,6,9,2,0.00127983,4,2,"4,4,12,32,3",1,0,-1,-1,-1
2,2,5,8,2,0.000681074,5,2,"4,4,8,24,3",0,0,-1,-1,-1
2,1,5,8,3,0.000529647,6,2,"4,2,8,24,4",0,0,-1,-1,-1
3,1,5,8,4,0.000454606,7,2,"8,2,8,24,6",0,1,-1,-1,-1
3,1,5,8,5,0.0004439,8,2,"8,2,8,24,8",1,1,1,1,1
